celltype_num	lineage_num	Freq	DEGtype
5	5	0.00435998683777558	HDAvsInactive
6	5	0.011599210266535	HDAvsInactive
7	5	0.0153010858835143	HDAvsInactive
8	5	0.0158769332017111	HDAvsInactive
9	5	0.0163705166173083	HDAvsInactive
10	5	0.0122573214873314	HDAvsInactive
11	5	0.0106943073379401	HDAvsInactive
12	5	0.00806186245475485	HDAvsInactive
13	5	0.00616979269496545	HDAvsInactive
14	5	0.00559394537676867	HDAvsInactive
15	5	0.00534715366897006	HDAvsInactive
16	5	0.00370187561697927	HDAvsInactive
17	5	0.00378413951957881	HDAvsInactive
18	5	0.00329055610398157	HDAvsInactive
19	5	0.00213886146758802	HDAvsInactive
20	5	0.00279697268838434	HDAvsInactive
21	5	0.00197433366238894	HDAvsInactive
22	5	0.00197433366238894	HDAvsInactive
23	5	0.0018920697597894	HDAvsInactive
24	5	0.00246791707798618	HDAvsInactive
25	5	0.00139848634419217	HDAvsInactive
26	5	0.00263244488318526	HDAvsInactive
27	5	0.00534715366897006	HDAvsInactive
1	1	0.223703703703704	InactivevsHC
2	1	0.0638683127572016	InactivevsHC
3	1	0.0213168724279835	InactivevsHC
4	1	0.00839506172839506	InactivevsHC
5	1	0.00164609053497942	InactivevsHC
6	1	0.000329218106995885	InactivevsHC
7	1	8.23045267489712e-05	InactivevsHC
8	1	0	InactivevsHC
9	1	0	InactivevsHC
10	1	0	InactivevsHC
11	1	0	InactivevsHC
12	1	0	InactivevsHC
13	1	0	InactivevsHC
14	1	0	InactivevsHC
15	1	0	InactivevsHC
16	1	0	InactivevsHC
17	1	0	InactivevsHC
18	1	0	InactivevsHC
19	1	0	InactivevsHC
20	1	0	InactivevsHC
21	1	0	InactivevsHC
22	1	0	InactivevsHC
23	1	0	InactivevsHC
24	1	0	InactivevsHC
25	1	0	InactivevsHC
26	1	0	InactivevsHC
27	1	0	InactivevsHC
1	2	0	InactivevsHC
2	2	0.105185185185185	InactivevsHC
3	2	0.0671604938271605	InactivevsHC
4	2	0.0353909465020576	InactivevsHC
5	2	0.0219753086419753	InactivevsHC
6	2	0.00954732510288066	InactivevsHC
7	2	0.00411522633744856	InactivevsHC
8	2	0.00296296296296296	InactivevsHC
9	2	0.00106995884773663	InactivevsHC
10	2	0.000576131687242798	InactivevsHC
11	2	0.000246913580246914	InactivevsHC
12	2	0.000164609053497942	InactivevsHC
13	2	0	InactivevsHC
14	2	0	InactivevsHC
15	2	0	InactivevsHC
16	2	0	InactivevsHC
17	2	0	InactivevsHC
18	2	0	InactivevsHC
19	2	0	InactivevsHC
20	2	0	InactivevsHC
21	2	0	InactivevsHC
22	2	0	InactivevsHC
23	2	0	InactivevsHC
24	2	0	InactivevsHC
25	2	0	InactivevsHC
26	2	0	InactivevsHC
27	2	0	InactivevsHC
1	3	0	InactivevsHC
2	3	0	InactivevsHC
3	3	0.0395884773662551	InactivevsHC
4	3	0.0472427983539095	InactivevsHC
5	3	0.0360493827160494	InactivevsHC
6	3	0.0248559670781893	InactivevsHC
7	3	0.0178600823045268	InactivevsHC
8	3	0.00839506172839506	InactivevsHC
9	3	0.00641975308641975	InactivevsHC
10	3	0.00362139917695473	InactivevsHC
11	3	0.00230452674897119	InactivevsHC
12	3	0.0017283950617284	InactivevsHC
13	3	0.000329218106995885	InactivevsHC
14	3	0.000329218106995885	InactivevsHC
15	3	0.000246913580246914	InactivevsHC
16	3	0	InactivevsHC
17	3	0	InactivevsHC
18	3	0	InactivevsHC
19	3	0	InactivevsHC
20	3	0	InactivevsHC
21	3	0	InactivevsHC
22	3	0	InactivevsHC
23	3	0	InactivevsHC
24	3	0	InactivevsHC
25	3	0	InactivevsHC
26	3	0	InactivevsHC
27	3	0	InactivevsHC
1	4	0	InactivevsHC
2	4	0	InactivevsHC
3	4	0	InactivevsHC
4	4	0.0120987654320988	InactivevsHC
5	4	0.0194238683127572	InactivevsHC
6	4	0.0197530864197531	InactivevsHC
7	4	0.0181893004115226	InactivevsHC
8	4	0.0180246913580247	InactivevsHC
9	4	0.0134156378600823	InactivevsHC
10	4	0.00757201646090535	InactivevsHC
11	4	0.00567901234567901	InactivevsHC
12	4	0.00378600823045267	InactivevsHC
13	4	0.00312757201646091	InactivevsHC
14	4	0.00156378600823045	InactivevsHC
15	4	0.000905349794238683	InactivevsHC
16	4	0.000823045267489712	InactivevsHC
17	4	0.000329218106995885	InactivevsHC
18	4	0.000329218106995885	InactivevsHC
19	4	0	InactivevsHC
20	4	0	InactivevsHC
21	4	0	InactivevsHC
22	4	0	InactivevsHC
23	4	0	InactivevsHC
24	4	0	InactivevsHC
25	4	0	InactivevsHC
26	4	0	InactivevsHC
27	4	0	InactivevsHC
1	5	0	InactivevsHC
2	5	0	InactivevsHC
3	5	0	InactivevsHC
4	5	0	InactivevsHC
5	5	0.00320987654320988	InactivevsHC
6	5	0.00584362139917695	InactivevsHC
7	5	0.008559670781893	InactivevsHC
8	5	0.00905349794238683	InactivevsHC
9	5	0.0105349794238683	InactivevsHC
10	5	0.0111934156378601	InactivevsHC
11	5	0.0108641975308642	InactivevsHC
12	5	0.00987654320987654	InactivevsHC
13	5	0.00798353909465021	InactivevsHC
14	5	0.00699588477366255	InactivevsHC
15	5	0.00551440329218107	InactivevsHC
16	5	0.0060082304526749	InactivevsHC
17	5	0.0037037037037037	InactivevsHC
18	5	0.0037037037037037	InactivevsHC
19	5	0.00296296296296296	InactivevsHC
20	5	0.00189300411522634	InactivevsHC
21	5	0.00156378600823045	InactivevsHC
