subset1	B05_NCD4	B06_MCD4	B01_Th1	B02_Th2	B03_TH17	B04_Tfh	B09_Fra1	B07_aTreg	B10_Fra3	C01_NCD8	C04_CmCD8	C05_EmCD8	C03_EffectorCD8	G01_NK	A01_NaiB	A03_UnswMB	A02_SwiMB	A04_DNB	A05_PB	E02_CD16nMo	E01_CD16pMo	E04_Intermediate	E03_NonClassical	D01_mDC	D02_pDC	F01_Neu	F02_LDG
C05_EmCD8	0.209950248756219	0.264145496535797	0.305634165165938	0.201606203267793	0.115235065394132	0.195665261890427	0.144911192557091	0.108619032361423	0.0971547536433033	0.202804206309464	0.127607788595271	1	0.156355455568054	0.251606760295168	0.181728880157171	0.182224349768629	0.190630797773655	0.207643814026793	0.0891253741270369	0.134277471806976	0.103951206576505	0.0848256361922714	0.091997479521109	0.148307515777395	0.0982423101067169	0.0936329588014981	0.0932203389830508
C03_EffectorCD8	0.104542177361211	0.127792672028597	0.121866295264624	0.122276567363273	0.166068222621185	0.146223888591323	0.110019646365422	0.118609406952965	0.0765734265734266	0.112879348630644	0.167086481947943	0.156355455568054	1	0.13106635853417	0.0788667687595712	0.0589446107784431	0.0818656229615134	0.0742119632663192	0.105263157894737	0.0933275185346707	0.0843649701971573	0.0898123324396783	0.10228802153432	0.109867751780264	0.0972222222222222	0.060546875	0.0714904679376083
G01_NK	0.225814007964394	0.213880288957688	0.284966698382493	0.185681760688085	0.0876755070202808	0.164817320703654	0.185412770504943	0.132840236686391	0.140789473684211	0.200372352804282	0.125353440150801	0.251606760295168	0.13106635853417	1	0.228033070563353	0.237777777777778	0.209189308592887	0.234184451219512	0.102134146341463	0.134161188215242	0.105585497305243	0.0822190611664296	0.0898426323319027	0.181032153472035	0.122036874451273	0.0818652849740933	0.0852272727272727
A01_NaiB	0.22821661237785	0.193997390169639	0.214692594775093	0.153587208079108	0.0735551663747811	0.139347923179991	0.177842565597668	0.119064834899976	0.151585014409222	0.209415584415584	0.0971043434847728	0.181728880157171	0.0788667687595712	0.228033070563353	1	0.306131718395155	0.287020109689214	0.333333333333333	0.0983159980188212	0.140611902766136	0.12797619047619	0.0891885497989118	0.10269882971101	0.147860784748393	0.102990033222591	0.0942878066642256	0.0995085995085995
A03_UnswMB	0.205202779124253	0.180520142784294	0.246121182426915	0.152703604806409	0.0517336268574573	0.126874676779866	0.15197934595525	0.0950405770964833	0.143987587276959	0.179881467243312	0.0778885197489849	0.182224349768629	0.0589446107784431	0.237777777777778	0.306131718395155	1	0.387892774720398	0.390713834491472	0.083917373662855	0.132289950576606	0.109225700164745	0.0690387679235263	0.0745077168706759	0.149479166666667	0.0873370244686551	0.08302056748236	0.0829835324507588
A02_SwiMB	0.20280701754386	0.202921231090245	0.244778221074865	0.17224635829287	0.0846425136261622	0.161797133406836	0.165056360708535	0.118389423076923	0.118461538461538	0.194117647058824	0.10863332271424	0.190630797773655	0.0818656229615134	0.209189308592887	0.287020109689214	0.387892774720398	1	0.375984671066638	0.117014547754586	0.156044511886697	0.126882818483533	0.0961254066844129	0.104668450787987	0.176778819635962	0.111342042755344	0.0860899067005937	0.0940630344490594
A04_DNB	0.210120577189168	0.198078975453575	0.279918864097363	0.164683782091421	0.0696033098077391	0.150409201504092	0.15544490149383	0.0940822931114193	0.117245199409158	0.195853899308983	0.0927458617332035	0.207643814026793	0.0742119632663192	0.234184451219512	0.333333333333333	0.390713834491472	0.375984671066638	1	0.0952036635333815	0.127206329884358	0.107421074210742	0.0777344645723458	0.0829122645842903	0.157964019306713	0.0950622981079834	0.0799136069114471	0.0818853604953066
A05_PB	0.0821143617021277	0.0970600080547725	0.0967638577379045	0.0865231259968102	0.0860448300795372	0.0996240601503759	0.100178890876565	0.113059250302297	0.0806982872200264	0.086616847826087	0.0971074380165289	0.0891253741270369	0.105263157894737	0.102134146341463	0.0983159980188212	0.083917373662855	0.117014547754586	0.0952036635333815	1	0.0923759580475998	0.0901743938749468	0.0991586538461538	0.105358217940999	0.117454375292466	0.110780226325194	0.0597153465346535	0.0676541232986389
E02_CD16nMo	0.141796978531672	0.147620491057896	0.143807574206755	0.145054282267793	0.0930626057529611	0.126611570247934	0.117684478371501	0.110814927646611	0.101847101077476	0.138963121325494	0.0955309553095531	0.134277471806976	0.0933275185346707	0.134161188215242	0.140611902766136	0.132289950576606	0.156044511886697	0.127206329884358	0.0923759580475998	1	0.286463798530955	0.263135228251507	0.248621128553246	0.242857142857143	0.112872782181955	0.152499365643238	0.160912453760789
E01_CD16pMo	0.114797966283115	0.116978814860301	0.114690721649485	0.12743581812558	0.0868983957219251	0.120233596702164	0.111621799080762	0.10702875399361	0.107407407407407	0.112101566720692	0.101430429128739	0.103951206576505	0.0843649701971573	0.105585497305243	0.12797619047619	0.109225700164745	0.126882818483533	0.107421074210742	0.0901743938749468	0.286463798530955	1	0.406139909411173	0.39433117851815	0.190442225392297	0.109794628751975	0.139625585023401	0.143580012650221
E04_Intermediate	0.0948604060913706	0.0950413223140496	0.0863005431502716	0.106020446800454	0.109811565951917	0.114335971855761	0.0979338842975207	0.106406080347448	0.0836466165413534	0.0957755562721703	0.106658446362515	0.0848256361922714	0.0898123324396783	0.0822190611664296	0.0891885497989118	0.0690387679235263	0.0961254066844129	0.0777344645723458	0.0991586538461538	0.263135228251507	0.406139909411173	1	0.441176470588235	0.202871699861047	0.116630669546436	0.124388753056235	0.138516179952644
E03_NonClassical	0.0999045497931912	0.116793893129771	0.091238670694864	0.109973454683352	0.110608020698577	0.115199299167762	0.106860706860707	0.122941822173436	0.086697965571205	0.0970654627539503	0.11509900990099	0.091997479521109	0.10228802153432	0.0898426323319027	0.10269882971101	0.0745077168706759	0.104668450787987	0.0829122645842903	0.105358217940999	0.248621128553246	0.39433117851815	0.441176470588235	1	0.190497944266788	0.119137466307278	0.114768951978254	0.134743439091265
D01_mDC	0.169640245685873	0.1703130259172	0.17587373167982	0.14753556070129	0.0995121951219512	0.141799333580156	0.157534246575342	0.130340017436792	0.117204899777283	0.15287927506577	0.135396518375242	0.148307515777395	0.109867751780264	0.181032153472035	0.147860784748393	0.149479166666667	0.176778819635962	0.157964019306713	0.117454375292466	0.242857142857143	0.190442225392297	0.202871699861047	0.190497944266788	1	0.193812556869882	0.0913423351866561	0.106099935107073
D02_pDC	0.114313160422671	0.112958065734794	0.114172023262932	0.110355253212396	0.100190234622701	0.116339869281046	0.108955839867932	0.106360235168359	0.0800618238021638	0.113097172570686	0.117106069895769	0.0982423101067169	0.0972222222222222	0.122036874451273	0.102990033222591	0.0873370244686551	0.111342042755344	0.0950622981079834	0.110780226325194	0.112872782181955	0.109794628751975	0.116630669546436	0.119137466307278	0.193812556869882	1	0.0672121566335476	0.0786140089418778
F01_Neu	0.0851958397875636	0.0754122211445199	0.0798462852263023	0.0807468477206596	0.0665387076135637	0.0846336947897382	0.0687355732239036	0.0634874195435927	0.0718004338394794	0.0906654756587762	0.0547774665421724	0.0936329588014981	0.060546875	0.0818652849740933	0.0942878066642256	0.08302056748236	0.0860899067005937	0.0799136069114471	0.0597153465346535	0.152499365643238	0.139625585023401	0.124388753056235	0.114768951978254	0.0913423351866561	0.0672121566335476	1	0.432025117739403
F02_LDG	0.0957666494579246	0.0875912408759124	0.0814613675635645	0.0884413309982487	0.0776410691557064	0.0921479558728099	0.0834375	0.0838976674191121	0.0758725341426404	0.102786540483701	0.0717488789237668	0.0932203389830508	0.0714904679376083	0.0852272727272727	0.0995085995085995	0.0829835324507588	0.0940630344490594	0.0818853604953066	0.0676541232986389	0.160912453760789	0.143580012650221	0.138516179952644	0.134743439091265	0.106099935107073	0.0786140089418778	0.432025117739403	1
