subset1	B05_NCD4	B06_MCD4	B01_Th1	B02_Th2	B03_TH17	B04_Tfh	B09_Fra1	B07_aTreg	B10_Fra3	C01_NCD8	C04_CmCD8	C05_EmCD8	C03_EffectorCD8	G01_NK	A01_NaiB	A03_UnswMB	A02_SwiMB	A04_DNB	A05_PB	E02_CD16nMo	E01_CD16pMo	E04_Intermediate	E03_NonClassical	D01_mDC	D02_pDC	F01_Neu	F02_LDG
C04_CmCD8	0.179111531190926	0.274164677804296	0.240330067044868	0.247454625940682	0.260991580916745	0.256648374841705	0.206206206206206	0.217565760142666	0.196167423096319	0.212015672616456	1	0.302428771602055	0.293217286914766	0.237696051919957	0.14070351758794	0.14087656529517	0.15038198632891	0.153267512929008	0.14296314617858	0.120693695805015	0.134926052332196	0.122623574144487	0.144561204203351	0.152457757296467	0.167400881057269	0.100473079522415	0.0858556461001164
C05_EmCD8	0.110114942528736	0.321621082052306	0.507406240151276	0.15255751619388	0.165933811617681	0.170893054024256	0.113950762016413	0.145729778581112	0.116895409370563	0.135879218472469	0.302428771602055	1	0.449086161879896	0.339261550357626	0.101799034664326	0.0963529941467807	0.11370514483355	0.10613751730503	0.220162429378531	0.150537634408602	0.174091057975762	0.118854045683314	0.161051462421325	0.124181626187962	0.154313232830821	0.131430414449282	0.0954063604240283
C03_EffectorCD8	0.142811399295549	0.330101913994531	0.311283430922614	0.17810704566072	0.200190657769304	0.193985849056604	0.14845292955892	0.171076923076923	0.154745989304813	0.172738312082574	0.293217286914766	0.449086161879896	1	0.36708554857419	0.127710127710128	0.120210135970334	0.142857142857143	0.139309900032248	0.189319371727749	0.148030872748862	0.157040757195287	0.126448114370224	0.155743320392784	0.139613120269134	0.141094420600858	0.110963832607461	0.0944918183913344
G01_NK	0.132860938883968	0.276042853886483	0.278737791134485	0.15103734439834	0.163359217716422	0.153331549371153	0.138359067514381	0.151455213337101	0.138447432762836	0.169030062393647	0.237696051919957	0.339261550357626	0.36708554857419	1	0.135550586920067	0.107907507850414	0.131302237799946	0.129013079667063	0.199797570850202	0.164750957854406	0.157875254488247	0.127091078066914	0.146509129967777	0.136828309305374	0.132763389489565	0.117400036516341	0.0991049989085353
A01_NaiB	0.199880311190904	0.150567310640908	0.0814427941896524	0.195260175167439	0.199564980967917	0.194992778045258	0.188002473716759	0.166666666666667	0.197326543602801	0.196344647519582	0.14070351758794	0.101799034664326	0.127710127710128	0.135550586920067	1	0.257594167679222	0.282561894510226	0.273139158576052	0.0996260683760684	0.131241830065359	0.118300815016053	0.145095113763521	0.130808402291534	0.163737280296022	0.114747307373654	0.0839041095890411	0.101473543201608
A03_UnswMB	0.172125883108542	0.139232477006026	0.0775876391427147	0.192865105908584	0.205952380952381	0.177402862985685	0.17476383265857	0.180149168100975	0.182197496522949	0.170271769273433	0.14087656529517	0.0963529941467807	0.120210135970334	0.107907507850414	0.257594167679222	1	0.345332519829164	0.331845238095238	0.109745881038816	0.117029862792575	0.117662137913356	0.147093712930012	0.138916918937101	0.164752870693959	0.109002647837599	0.0758984669514954	0.0953048353188507
A02_SwiMB	0.188542825361513	0.161145926589078	0.088587132234077	0.213155291790307	0.221409921671018	0.220821661998133	0.182237600922722	0.189162067235324	0.193950177935943	0.192610837438424	0.15038198632891	0.11370514483355	0.142857142857143	0.131302237799946	0.282561894510226	0.345332519829164	1	0.372958850424559	0.121428571428571	0.143259866735008	0.139398385913426	0.170865279299014	0.156426332288401	0.175477565526433	0.112072355485647	0.094507076037419	0.114647612861319
A04_DNB	0.201674808094906	0.141595814257685	0.0802085084916765	0.199647680563711	0.22003804692454	0.197604790419162	0.204411764705882	0.178205900060205	0.205882352941176	0.189461219656602	0.153267512929008	0.10613751730503	0.139309900032248	0.129013079667063	0.273139158576052	0.331845238095238	0.372958850424559	1	0.105473204104903	0.117226197028068	0.112095933263816	0.145253682487725	0.130030959752322	0.181722134178553	0.112999540652274	0.0647463675758348	0.0905810176831469
A05_PB	0.0825229230341762	0.18816067653277	0.229097232285176	0.111727416798732	0.106583917970858	0.110969712395011	0.0876141552511416	0.116404981050352	0.0944813637676972	0.0957278481012658	0.14296314617858	0.220162429378531	0.189319371727749	0.199797570850202	0.0996260683760684	0.109745881038816	0.121428571428571	0.105473204104903	1	0.12284966342558	0.121800689780359	0.100090991810737	0.111646418098031	0.114517354953129	0.125276888998277	0.107946298984035	0.0919117647058824
E02_CD16nMo	0.100996498788042	0.143680445151033	0.142428376534789	0.123245725950498	0.123886851754845	0.123206333498268	0.104814305364512	0.123540098624448	0.106199610786767	0.117450526856849	0.120693695805015	0.150537634408602	0.148030872748862	0.164750957854406	0.131241830065359	0.117029862792575	0.143259866735008	0.117226197028068	0.12284966342558	1	0.33581339231852	0.327462991322103	0.292416306080619	0.241028387787895	0.128150261531146	0.160623640319072	0.154062229904927
E01_CD16pMo	0.104693140794224	0.154858691444057	0.165244480563457	0.13115157480315	0.134698003538034	0.137665463297232	0.104270369400052	0.13371801304566	0.109694555112882	0.114950980392157	0.134926052332196	0.174091057975762	0.157040757195287	0.157875254488247	0.118300815016053	0.117662137913356	0.139398385913426	0.112095933263816	0.121800689780359	0.33581339231852	1	0.457019671247642	0.523255813953488	0.188548864758144	0.134420955882353	0.188753581661891	0.155648535564854
E04_Intermediate	0.132612179487179	0.136523046092184	0.104936402180497	0.155090040426314	0.165	0.154602951510892	0.132262051915946	0.151049475262369	0.138958858102435	0.140125045972784	0.122623574144487	0.118854045683314	0.126448114370224	0.127091078066914	0.145095113763521	0.147093712930012	0.170865279299014	0.145253682487725	0.100090991810737	0.327462991322103	0.457019671247642	1	0.485387974470944	0.225264695144213	0.132319637657716	0.14444686886319	0.152665364219927
E03_NonClassical	0.120013522650439	0.154587155963303	0.147028461878779	0.148546144121365	0.160567095285196	0.162611641515245	0.122357019064125	0.151328580686973	0.129989403037796	0.133903133903134	0.144561204203351	0.161051462421325	0.155743320392784	0.146509129967777	0.130808402291534	0.138916918937101	0.156426332288401	0.130030959752322	0.111646418098031	0.292416306080619	0.523255813953488	0.485387974470944	1	0.208870714061025	0.141388174807198	0.171586715867159	0.156635608159154
D01_mDC	0.152791878172589	0.146195497292676	0.106937340153453	0.168696436626071	0.178231939163498	0.170430336599915	0.152310924369748	0.174380551659654	0.164954029204976	0.152458276950834	0.152457757296467	0.124181626187962	0.139613120269134	0.136828309305374	0.163737280296022	0.164752870693959	0.175477565526433	0.181722134178553	0.114517354953129	0.241028387787895	0.188548864758144	0.225264695144213	0.208870714061025	1	0.175424733306993	0.101714822645055	0.114465408805031
D02_pDC	0.107560756075608	0.140608034744843	0.135782747603834	0.145988420181969	0.149286023366508	0.146828504306969	0.123818525519849	0.142917907273501	0.129593810444874	0.122792607802875	0.167400881057269	0.154313232830821	0.141094420600858	0.132763389489565	0.114747307373654	0.109002647837599	0.112072355485647	0.112999540652274	0.125276888998277	0.128150261531146	0.134420955882353	0.132319637657716	0.141388174807198	0.175424733306993	1	0.0954319312528268	0.0863436123348018
F01_Neu	0.0741590214067278	0.119854489756845	0.131469283505848	0.0931526736027099	0.0920595533498759	0.100544121126094	0.0713914849428868	0.0961918892185954	0.0800105624504885	0.0851167315175097	0.100473079522415	0.131430414449282	0.110963832607461	0.117400036516341	0.0839041095890411	0.0758984669514954	0.094507076037419	0.0647463675758348	0.107946298984035	0.160623640319072	0.188753581661891	0.14444686886319	0.171586715867159	0.101714822645055	0.0954319312528268	1	0.450847457627119
F02_LDG	0.0953571428571429	0.110929089632577	0.0845008110898098	0.108232207281076	0.111794871794872	0.110340479192938	0.0931426475980931	0.110998307952623	0.103344607290492	0.103801652892562	0.0858556461001164	0.0954063604240283	0.0944918183913344	0.0991049989085353	0.101473543201608	0.0953048353188507	0.114647612861319	0.0905810176831469	0.0919117647058824	0.154062229904927	0.155648535564854	0.152665364219927	0.156635608159154	0.114465408805031	0.0863436123348018	0.450847457627119	1
