Gene	B05_NCD4_HC	B05_NCD4_SLE	B06_MCD4_HC	B06_MCD4_SLE	B01_Th1_HC	B01_Th1_SLE	B02_Th2_HC	B02_Th2_SLE	B03_TH17_HC	B03_TH17_SLE	B04_Tfh_HC	B04_Tfh_SLE	B09_Fra1_HC	B09_Fra1_SLE	B07_aTreg_HC	B07_aTreg_SLE	B10_Fra3_HC	B10_Fra3_SLE	A01_NaiB_HC	A01_NaiB_SLE	A03_UnswMB_HC	A03_UnswMB_SLE	A02_SwiMB_HC	A02_SwiMB_SLE	A04_DNB_HC	A04_DNB_SLE	C01_NCD8_HC	C01_NCD8_SLE	C04_CmCD8_HC	C04_CmCD8_SLE	C05_EmCD8_HC	C05_EmCD8_SLE	C03_EffectorCD8_HC	C03_EffectorCD8_SLE	G01_NK_HC	G01_NK_SLE	E02_CD16nMo_HC	E02_CD16nMo_SLE	E01_CD16pMo_HC	E01_CD16pMo_SLE	E04_Intermediate_HC	E04_Intermediate_SLE	E03_NonClassical_HC	E03_NonClassical_SLE	D01_mDC_HC	D01_mDC_SLE	D02_pDC_HC	D02_pDC_SLE	A05_PB_HC	A05_PB_SLE	F01_Neu_HC	F01_Neu_SLE	F02_LDG_HC	F02_LDG_SLE
CHMP5	-0.888981524103487	-0.0638136855336489	-0.928005029361991	-0.0151543438304205	-0.831268735262541	0.0927100428185713	-0.791377027721224	0.227331887796684	-0.779903881023398	0.248207484486901	-0.918870091981822	-0.00273291217517614	-0.802180890233998	0.150665514810449	-0.38159003139287	0.589461771639221	-0.664076179615988	0.294623542419313	-0.923196653178989	0.0193841827965018	-0.848605705701604	0.0474638380709477	-1.34566937963338	-0.391845732264049	-1.28877853553933	-0.23869428262183	-0.897919051934429	-0.143908246026248	-0.772530841423317	0.0835368036372844	-1.06274142705762	-0.177616741266463	-1.07635100898668	-0.267919990975148	-0.894621639522042	-0.0514410075895564	-0.174219240295879	1.06018637220751	-0.00396300263180555	1.01268177532378	-0.171477369065277	0.908291807450282	0.0777260364033915	1.10223783734026	-0.420701077374106	0.584748511236634	1.41064565742214	2.28352390625765	-1.01263962828268	-0.152891904145936	1.74733799871567	3.31040330196564	1.26210303200086	2.87241549295327
PHF11	-0.262947713470477	0.631278125745252	0.0656604198419911	1.11514392870124	0.0613306131495604	1.01162563678073	-0.177782309246045	1.03399621805997	0.21297420882359	1.33004566762392	0.103763364198146	1.22678369390337	-0.166948158609845	0.926137054232288	0.79852430139165	1.92293375913687	0.526484325454738	1.58766646077614	0.218962095655052	1.15098638130499	-0.233647374469122	0.554638310831487	-0.704541994735867	0.148343765040086	-0.717144587366694	0.193054656180681	-0.53513267985795	0.412095434728767	-0.220231144937572	0.646947786918314	-0.0763248546751544	0.885666601147316	-0.0472906591784765	0.898189383707149	-0.640231242360963	0.196966684437801	-1.49149815715633	0.0511767652678486	-1.40689327507408	-0.450224225119723	-1.36763316718384	-0.315199287702066	-1.42448726294187	-0.547709605003586	-1.55802263451388	-0.090587298156256	-0.903680844257336	0.776158085363634	-2.61522223433449	-1.6990387798826	-1.91318218870272	1.21775133183663	-1.67678940114572	1.33710601984341
IFI16	-2.14320876658123	-1.13508432834843	-0.544435655304969	0.311559021596445	-0.387841639087931	0.710617703983519	-0.744554774232759	0.147812233201678	-1.07125961067991	-0.227434369865876	-0.422544329115797	0.39579716151305	-0.953982938519342	-0.148172111102674	0.0816891397700456	0.779193377034327	-0.273848062771203	0.226675002505281	1.08759824663352	1.59205483800914	0.733557085146135	1.16188134083423	0.554073264732653	1.06961069451404	0.150772623572799	0.600614050657047	-2.57204982021971	-1.33786503450122	-0.825459937361069	0.0470287999753458	-0.441425731016867	0.576583801035211	-0.269330045236551	0.514486671470296	0.256893405152389	1.02563949831147	-0.733199690907629	0.512564811800448	-1.24178915686517	-0.150925981446737	-1.0515760867402	0.0691703162254927	-1.31058197265441	-0.327319237444865	0.122504003300014	1.13207713696998	-0.646361806747537	0.924551484575294	-1.0111776296224	-0.352989856808356	-0.141811787880643	2.51576223485524	0.279102172344462	2.88636024134395
RBCK1	-1.05589528918138	-0.199122542178973	-0.314343938503179	0.509561930113379	-0.167095552283515	0.798271396934319	-0.205904117828114	0.45637247603964	-0.973409899268252	-0.186196997696899	-0.192000007896038	0.54196328993002	-1.02903911270196	-0.082406687288903	-0.0700436571107693	0.732323231689416	-0.436189799741894	0.0648148218369425	-1.00074047033385	-0.0606034145480971	-0.462095231678623	0.432186247062384	-0.431332828065911	0.489582928417591	-0.820753103342223	-0.08952216537601	-1.43406910323341	-0.766664985150698	-0.247538350511944	0.554429861101166	0.0936282873521979	1.04470274893142	0.268921946662617	0.933979135873107	0.169756761501435	0.900871982843613	-1.12562610563668	0.0854576857098667	-0.59578418570543	0.221283623419075	-0.66504388011989	0.336354088014593	-0.650862994006364	0.286163022866735	-1.05208690138484	0.0678701219524092	0.0604863044683681	1.09039970295475	-2.80953587940455	-1.82160857217159	1.17943269909234	3.09619932973705	1.38473305813867	3.14576908970689
IFIT5	-0.203848769995589	0.575782504981892	-0.453469391903085	0.422156685979082	-0.616303135567831	0.0376391832392505	-0.332895200832473	0.625869369576756	-0.277812389476332	0.636483894664019	-0.445470124669162	0.521796227050664	-0.136554300671143	0.84536623246592	-0.669440764646506	0.348944340191362	-0.426287215054372	0.64555003386086	0.160644558709876	0.752091117234822	0.0941895561856359	0.390815091217457	-0.0210109369574629	0.47921988901315	-0.0109926757941811	0.516178791530212	-0.639191351150637	0.202873866637068	-0.703694292243418	0.0416142195137075	-0.7202694059506	0.0261503277998208	-0.735179684587397	0.0524999554891614	-0.6019367885611	0.0584252387339253	-0.538076750582121	0.555342403134555	-0.0107005701754165	0.73168698244054	-0.0380746712084905	0.738594315567529	-0.0225664881508504	0.732824234931159	-0.998813772809328	-0.0323975081892784	-3.8069218409081	-1.95848099484891	-1.98812307057756	-1.30015750315279	1.05349043654042	2.90993023772826	0.798004194096116	2.73450571015089
DDX58	-0.277370855832946	0.432663407497446	-0.141672247106215	0.522435743632165	-0.0594621829568885	0.487252006754889	-0.241203225579193	0.507312899070385	-0.278124402486616	0.449327029007448	-0.147874388667956	0.591970109473236	-0.164153304681265	0.51029949644541	-0.194657994546808	0.379777832997266	-0.122673466189702	0.535597798057262	-0.102558870698787	0.268556405213216	-0.0964624317463006	0.163877347216496	-0.26521490585666	0.171964406868131	-0.453547136203297	-0.0673162939765969	-0.343303381326421	0.328006568614386	-0.174876940813488	0.401407375809706	-0.136193061752061	0.332214727743634	-0.117912515318261	0.302380223540268	-0.26819366122718	0.0655480112765031	-0.37935758719689	0.597883667115136	-0.32229376218486	0.544442716315877	-0.305739626987773	0.587102610633118	-0.366134390216661	0.512809350993296	-1.0300661561669	-0.14991835649451	-3.69676990576394	-3.40901520446129	-1.75436294143492	-1.30772377114031	1.21068669555591	2.49039160589785	1.34900453833641	2.63124039494927
IFIT3	-1.02401690600083	0.165686503648435	-0.933594095210012	0.0526072080382876	-1.1130053437473	-0.159646247106815	-0.530822627069103	0.429796125703527	-0.806271503421057	0.219456092048154	-0.983501963259757	0.0810663037241828	-0.710816214190067	0.396767068947959	-0.417405753955397	0.473333280617916	-0.526649847199855	0.398200262275442	-0.699317575311405	0.46097731638756	-0.37819716601457	0.426187673246857	-0.51357981478793	0.428231275276523	-0.626840125537262	0.37278603183483	-1.60699947603845	-0.19944535822166	-1.10280224733019	-0.0693063429073115	-1.21111458148244	-0.259620540521735	-0.940252877058804	-0.171854488053953	-0.548396669163999	0.0564095765308978	0.290777257646327	1.17894649231009	0.766707206515583	1.47078425898406	0.74040002015459	1.47568266026502	0.783438120764702	1.49463353997033	-0.429702416478388	0.681832923863311	-1.14542260605689	-0.671676999390117	-2.1831515919031	-1.33055627868949	1.64833295992163	2.62473773085513	1.60082711520731	2.57536265136925
IFIT1	-0.59918176841853	0.472079181792288	-0.703485310926303	0.350680824181008	-0.88221673851801	0.165266785246588	-0.580541392352003	0.536066260299718	-0.522092376938383	0.526608818773724	-0.621319924883623	0.488802024654482	-0.805626216262738	0.527927599017252	-0.657419821509941	0.594604951400622	-0.642168788397939	0.600320181854393	-0.868128434411058	0.421093570411565	-0.709233123738625	0.41915891925611	-0.875950564347751	0.393782835837862	-1.02744292419461	0.322258284872839	-0.761938388634413	0.316057143443797	-0.899293826317841	0.154631933564042	-1.17637370483225	-0.107775522228485	-1.24932867840571	-0.0808583705519642	-1.16028046616905	-0.180769832274076	0.0227602195177816	1.14504391731872	0.223411566107248	1.32232486533103	0.258099187734629	1.33886234091418	0.217841377904622	1.36288033761627	-0.692179775495145	0.620300419829521	-2.55149302253291	-1.69970493499318	-1.0256752180226	0.010085300012419	1.45817580183744	2.79931690056735	1.31218668655949	2.69985088950016
RSAD2	-0.460905742760435	0.827598835448729	-0.522115851967443	0.618337971674918	-0.532501405136612	0.579649568224058	-0.454302444351749	0.717061185389524	-0.766195322366716	0.537853481125412	-0.588105266668508	0.617485950600654	-1.10023664789738	0.549280247022263	-1.26633526243106	0.249199942951424	-0.949127692535433	0.564730433113036	-1.32512089802717	0.0468661764751299	-1.32290059194967	0.0325938611385717	-1.30931023096172	0.0510146740305228	-1.4008387842075	-0.0352790957983449	-0.450433282507304	0.77552872225665	-0.596536723419058	0.553118053076517	-0.58191651867311	0.572641963899541	-0.630362223864087	0.635853391181417	-0.404243922092807	0.643729057573659	-0.0930524472216174	1.05609805488695	0.0458916205914983	1.22758669382615	0.103983084218587	1.26769488491918	0.00803765837442104	1.21943670730185	-0.589751198690366	0.566849121539251	-1.85908141846776	-0.490066148202213	-2.44487379742674	-1.06537653653874	0.913809685631473	2.75988177061195	0.848163257875146	2.64899339920504
DHX58	0.175102382674085	1.24483486510831	-0.54983038285526	0.704059715223073	-0.411997491650558	0.69652106885	-0.579946815111816	0.72333536222714	-0.43842671405459	0.832204670216102	-0.496888823292885	0.718392605107279	-0.353438299854698	1.00572449826922	-0.776599642121697	0.741316061255408	-0.633026915611822	0.863776319628619	-0.689189901159923	0.535719700520378	-0.542735484980961	0.530257984837875	-0.477202192096057	0.751531200907398	-0.886155175991495	0.334563035181318	0.122910102935499	1.07311384442695	-0.594107648597023	0.46789709077274	-0.816890539035414	0.257699923900241	-1.16866004761699	0.122338211316914	-1.00652746205179	0.309783968002203	-0.404136826809169	1.43881470195412	-0.0267399534655179	1.38298853888065	-0.119491213014495	1.44164797054948	-0.0757359393055212	1.32535371868658	-0.969427623119868	0.702479895419096	-1.08936995029927	0.403516932089135	-3.05293005131305	-1.64307031917749	-2.15230878646017	1.45299242260973	-1.99145575055804	1.58741315805605
SPATS2L	-1.28221012400944	0.121383506087257	-0.145805656010484	0.8751626656029	-0.234558442426476	0.899189672109503	-0.660857098124592	0.773048021901935	0.168574509448188	0.767827832199295	-0.128783434525247	0.894297651798643	-0.402618398399759	1.01779671733162	1.16170996347339	2.15010176211183	0.686245541521356	1.56055123676166	-1.83425209771739	-0.31932408513759	-1.61239131801461	0.189986609742848	-2.05348899935023	-0.475339889304903	-1.99990986229083	-0.495601325008439	-1.75990949786076	-0.0912062757324361	-0.865481078366131	0.36174400537051	0.373980809046274	0.711239794485616	-0.0131823607410451	0.465770142770623	-0.974649036174552	0.262984981430068	-0.389637271302247	0.515792407880459	-0.477034170484072	0.658486137000082	-0.279864690775838	0.733906289877442	-0.536864972823491	0.648801053517957	1.37080457218338	1.61379100603739	0.380884368407013	1.06227613303953	-1.47513338880361	-0.351588366698435	-1.60667703072121	0.779350078005678	-1.50178423257663	0.762465634238006
